

DT = 0

	 h 	 Beta 
86.000000 	 0.00000000000000149967 
87.000000 	 0.00000000000000101979 
88.000000 	 0.00000000000000068937 
89.000000 	 0.00000000000000046337 
90.000000 	 0.00000000000000031043 


DT = 5

	 h 	 Beta 
60.000000 	 0.00000000000471383800 
61.000000 	 0.00000000000362790959 
62.000000 	 0.00000000000278405592 
63.000000 	 0.00000000000212980013 
64.000000 	 0.00000000000162374041 
65.000000 	 0.00000000000123423932 
66.000000 	 0.00000000000093558242 
67.000000 	 0.00000000000070680233 
68.000000 	 0.00000000000053235406 
69.000000 	 0.00000000000039972324 
70.000000 	 0.00000000000029904176 
71.000000 	 0.00000000000022298188 
72.000000 	 0.00000000000016575358 
73.000000 	 0.00000000000012289912 
74.000000 	 0.00000000000009076443 
75.000000 	 0.00000000000006679031 
76.000000 	 0.00000000000004896829 
77.000000 	 0.00000000000003567355 
78.000000 	 0.00000000000002582716 
79.000000 	 0.00000000000001857633 
80.000000 	 0.00000000000001326916 
81.000000 	 0.00000000000000941104 
82.000000 	 0.00000000000000662703 
83.000000 	 0.00000000000000463068 
84.000000 	 0.00000000000000321208 
85.000000 	 0.00000000000000221333 
86.000000 	 0.00000000000000151393 
87.000000 	 0.00000000000000102953 
88.000000 	 0.00000000000000069596 
89.000000 	 0.00000000000000046780 
90.000000 	 0.00000000000000031339 


DT = 6

	 h 	 Beta 
60.000000 	 0.00000000000474833577 
61.000000 	 0.00000000000365464143 
62.000000 	 0.00000000000280471026 
63.000000 	 0.00000000000214571223 
64.000000 	 0.00000000000163596111 
65.000000 	 0.00000000000124359941 
66.000000 	 0.00000000000094273338 
67.000000 	 0.00000000000071224887 
68.000000 	 0.00000000000053649248 
69.000000 	 0.00000000000040285753 
70.000000 	 0.00000000000030140831 
71.000000 	 0.00000000000022476394 
72.000000 	 0.00000000000016709191 
73.000000 	 0.00000000000012390166 
74.000000 	 0.00000000000009151385 
75.000000 	 0.00000000000006734931 
76.000000 	 0.00000000000004938400 
77.000000 	 0.00000000000003598102 
78.000000 	 0.00000000000002605307 
79.000000 	 0.00000000000001874115 
80.000000 	 0.00000000000001338852 
81.000000 	 0.00000000000000949678 
82.000000 	 0.00000000000000668809 
83.000000 	 0.00000000000000467378 
84.000000 	 0.00000000000000324223 
85.000000 	 0.00000000000000223425 
86.000000 	 0.00000000000000152832 
87.000000 	 0.00000000000000103934 
88.000000 	 0.00000000000000070261 
89.000000 	 0.00000000000000047227 
90.000000 	 0.00000000000000031637 


DT = 7

	 h 	 Beta 
60.000000 	 0.00000000000478286907 
61.000000 	 0.00000000000368140544 
62.000000 	 0.00000000000282539303 
63.000000 	 0.00000000000216164904 
64.000000 	 0.00000000000164820299 
65.000000 	 0.00000000000125297747 
66.000000 	 0.00000000000094989941 
67.000000 	 0.00000000000071770794 
68.000000 	 0.00000000000054064126 
69.000000 	 0.00000000000040600031 
70.000000 	 0.00000000000030378178 
71.000000 	 0.00000000000022655162 
72.000000 	 0.00000000000016843477 
73.000000 	 0.00000000000012490784 
74.000000 	 0.00000000000009226620 
75.000000 	 0.00000000000006791068 
76.000000 	 0.00000000000004980161 
77.000000 	 0.00000000000003629001 
78.000000 	 0.00000000000002628017 
79.000000 	 0.00000000000001890691 
80.000000 	 0.00000000000001350861 
81.000000 	 0.00000000000000958308 
82.000000 	 0.00000000000000674956 
83.000000 	 0.00000000000000471718 
84.000000 	 0.00000000000000327261 
85.000000 	 0.00000000000000225533 
86.000000 	 0.00000000000000154282 
