

Element = 0



 DT = 0

h 	 Alfa
7.600000e+001 	 2.085000e-013
7.700000e+001 	 2.099805e-013
7.800000e+001 	 2.114575e-013
7.900000e+001 	 2.129297e-013
8.000000e+001 	 2.143954e-013
8.100000e+001 	 2.158083e-013
8.200000e+001 	 2.171179e-013
8.300000e+001 	 2.183630e-013
8.400000e+001 	 2.194914e-013
8.500000e+001 	 2.204478e-013
8.600000e+001 	 2.212725e-013
8.700000e+001 	 2.219107e-013
8.800000e+001 	 2.223067e-013
8.900000e+001 	 2.225056e-013
9.000000e+001 	 2.224061e-013


 DT = 6

h 	 Alfa
6.000000e+001 	 1.932047e-013
6.100000e+001 	 1.939934e-013
6.200000e+001 	 1.947628e-013
6.300000e+001 	 1.955430e-013
6.400000e+001 	 1.963346e-013
6.500000e+001 	 1.971377e-013
6.600000e+001 	 1.979526e-013
6.700000e+001 	 1.987797e-013
6.800000e+001 	 1.996530e-013
6.900000e+001 	 2.005058e-013
7.000000e+001 	 2.014067e-013
7.100000e+001 	 2.023576e-013
7.200000e+001 	 2.033248e-013
7.300000e+001 	 2.043086e-013
7.400000e+001 	 2.054594e-013
7.500000e+001 	 2.067486e-013
7.600000e+001 	 2.081062e-013
7.700000e+001 	 2.095767e-013
7.800000e+001 	 2.110435e-013
7.900000e+001 	 2.125054e-013
8.000000e+001 	 2.139606e-013
8.100000e+001 	 2.153633e-013
8.200000e+001 	 2.166631e-013
8.300000e+001 	 2.178989e-013
8.400000e+001 	 2.190187e-013
8.500000e+001 	 2.199678e-013
8.600000e+001 	 2.207861e-013
8.700000e+001 	 2.214192e-013
8.800000e+001 	 2.218121e-013
8.900000e+001 	 2.220095e-013
9.000000e+001 	 2.219107e-013


 DT = 7

h 	 Alfa
6.000000e+001 	 1.929044e-013
6.100000e+001 	 1.936887e-013
6.200000e+001 	 1.944537e-013
6.300000e+001 	 1.952296e-013
6.400000e+001 	 1.960166e-013
6.500000e+001 	 1.968151e-013
6.600000e+001 	 1.976252e-013
6.700000e+001 	 1.984474e-013
6.800000e+001 	 1.993155e-013
6.900000e+001 	 2.001632e-013
7.000000e+001 	 2.010585e-013
7.100000e+001 	 2.020036e-013
7.200000e+001 	 2.029647e-013
7.300000e+001 	 2.039423e-013
7.400000e+001 	 2.050857e-013
7.500000e+001 	 2.063664e-013
7.600000e+001 	 2.077151e-013
7.700000e+001 	 2.091756e-013
7.800000e+001 	 2.106324e-013
7.900000e+001 	 2.120840e-013
8.000000e+001 	 2.135289e-013
8.100000e+001 	 2.149214e-013
8.200000e+001 	 2.162118e-013
8.300000e+001 	 2.174383e-013
8.400000e+001 	 2.185496e-013
8.500000e+001 	 2.194914e-013
8.600000e+001 	 2.203034e-013
8.700000e+001 	 2.209316e-013
8.800000e+001 	 2.213214e-013
8.900000e+001 	 2.215172e-013
9.000000e+001 	 2.214192e-013


 DT = 8

