DT = 1

	 Tn 	 Dbeta 
	173.400000 0.00000000000000012293 
	171.700000 0.00000000000000008449 
	170.400000 0.00000000000000005764 
	169.600000 0.00000000000000003901 
	169.200000 0.00000000000000002622 
	169.400000 0.00000000000000001753 
DT = 7

	 Tn 	 Dbeta 
	244.200000 0.00000000000024086287 
	241.600000 0.00000000000018657342 
	239.100000 0.00000000000014410418 
	236.600000 0.00000000000011097704 
	234.100000 0.00000000000008519963 
	231.600000 0.00000000000006523102 
	229.100000 0.00000000000004981569 
	226.600000 0.00000000000003792684 
	224.000000 0.00000000000002880531 
	221.500000 0.00000000000002180691 
	218.900000 0.00000000000001645790 
	216.200000 0.00000000000001238717 
	213.500000 0.00000000000000929821 
	210.800000 0.00000000000000696181 
	207.700000 0.00000000000000520101 
	204.300000 0.00000000000000387691 
	200.800000 0.00000000000000288106 
	197.100000 0.00000000000000212925 
	193.500000 0.00000000000000156321 
	190.000000 0.00000000000000113959 
	186.600000 0.00000000000000082463 
	183.400000 0.00000000000000059191 
	180.500000 0.00000000000000042117 
	177.800000 0.00000000000000029708 
	175.400000 0.00000000000000020771 
	173.400000 0.00000000000000014400 
	171.700000 0.00000000000000009898 
	170.400000 0.00000000000000006753 
	169.600000 0.00000000000000004571 
	169.200000 0.00000000000000003072 
	169.400000 0.00000000000000002054 
DT = 8

	 Tn 	 Dbeta 
	244.200000 0.00000000000027542823 
	241.600000 0.00000000000021336687 
	239.100000 0.00000000000016481318 
	236.600000 0.00000000000012693682 
	234.100000 0.00000000000009746132 
	231.600000 0.00000000000007462595 
	229.100000 0.00000000000005699594 
	226.600000 0.00000000000004339779 
	224.000000 0.00000000000003296396 
	221.500000 0.00000000000002495779 
	218.900000 0.00000000000001883799 
	216.200000 0.00000000000001418023 
	213.500000 0.00000000000001064541 
	210.800000 0.00000000000000797149 
	207.700000 0.00000000000000595618 
	204.300000 0.00000000000000444055 
	200.800000 0.00000000000000330050 
	197.100000 0.00000000000000243970 
	193.500000 0.00000000000000179148 
	190.000000 0.00000000000000130626 
	186.600000 0.00000000000000094542 
	183.400000 0.00000000000000067874 
	180.500000 0.00000000000000048304 
	177.800000 0.00000000000000034078 
	175.400000 0.00000000000000023831 
	173.400000 0.00000000000000016524 
	171.700000 0.00000000000000011359 
	170.400000 0.00000000000000007751 
	169.600000 0.00000000000000005247 
	169.200000 0.00000000000000003527 
	169.400000 0.00000000000000002358 
DT = 9

	 Tn 	 Dbeta 
	244.200000 0.00000000000031002223 
	241.600000 0.00000000000024018702 
	239.100000 0.00000000000018554625 
	236.600000 0.00000000000014291787 
	234.100000 0.00000000000010974149 
	231.600000 0.00000000000008403671 
	229.100000 0.00000000000006418960 
	226.600000 0.00000000000004887996 
	224.000000 0.00000000000003713196 
	221.500000 0.00000000000002811636 
	218.900000 0.00000000000002122437 
	216.200000 0.00000000000001597842 
	213.500000 0.00000000000001199678 
	210.800000 0.00000000000000898451 
	207.700000 0.00000000000000671406 
	204.300000 0.00000000000000500639 
	200.800000 0.00000000000000372170 
	197.100000 0.00000000000000275157 
	193.500000 0.00000000000000202087 
	190.000000 0.00000000000000147380 
	186.600000 0.00000000000000106689 
	183.400000 0.00000000000000076609 
	180.500000 0.00000000000000054530 
	177.800000 0.00000000000000038477 
	175.400000 0.00000000000000026911 
	173.400000 0.00000000000000018662 
	171.700000 0.00000000000000012831 
	170.400000 0.00000000000000008756 
	169.600000 0.00000000000000005928 
	169.200000 0.00000000000000003984 
	169.400000 0.00000000000000002663 
DT = 10

	 Tn 	 Dbeta 
	244.200000 0.00000000000034464147 
	241.600000 0.00000000000026703118 
	239.100000 0.00000000000020630126 
	236.600000 0.00000000000015891849 
	234.100000 0.00000000000012203879 
	231.600000 0.00000000000009346224 
	229.100000 0.00000000000007139583 
	226.600000 0.00000000000005437271 
	224.000000 0.00000000000004130881 
	221.500000 0.00000000000003128224 
	218.900000 0.00000000000002361676 
	216.200000 0.00000000000001778153 
	213.500000 0.00000000000001335214 
	210.800000 0.00000000000001000074 
	207.700000 0.00000000000000747453 
	204.300000 0.00000000000000557434 
	200.800000 0.00000000000000414461 
	197.100000 0.00000000000000306480 
	193.500000 0.00000000000000225134 
	190.000000 0.00000000000000164219 
	186.600000 0.00000000000000118901 
	183.400000 0.00000000000000085394 
	180.500000 0.00000000000000060794 
	177.800000 0.00000000000000042904 
	175.400000 0.00000000000000030013 
	173.400000 0.00000000000000020815 
	171.700000 0.00000000000000014313 
	170.400000 0.00000000000000009768 
	169.600000 0.00000000000000006613 
	169.200000 0.00000000000000004445 
	169.400000 0.00000000000000002972 
DT = 11

	 Tn 	 Dbeta 
	244.200000 0.00000000000037928262 
	241.600000 0.00000000000029389669 
	239.100000 0.00000000000022707610 
	236.600000 0.00000000000017493701 
	234.100000 0.00000000000013435191 
	231.600000 0.00000000000010290151 
	229.100000 0.00000000000007861382 
	226.600000 0.00000000000005987542 
	224.000000 0.00000000000004549402 
	221.500000 0.00000000000003445505 
	218.900000 0.00000000000002601486 
	216.200000 0.00000000000001958931 
	213.500000 0.00000000000001471130 
	210.800000 0.00000000000001102005 
	207.700000 0.00000000000000823751 
	204.300000 0.00000000000000614431 
	200.800000 0.00000000000000456915 
	197.100000 0.00000000000000337935 
	193.500000 0.00000000000000248286 
	190.000000 0.00000000000000181140 
	186.600000 0.00000000000000131177 
	183.400000 0.00000000000000094228 
	180.500000 0.00000000000000067095 
	177.800000 0.00000000000000047359 
	175.400000 0.00000000000000033134 
	173.400000 0.00000000000000022983 
	171.700000 0.00000000000000015806 
	170.400000 0.00000000000000010787 
	169.600000 0.00000000000000007304 
	169.200000 0.00000000000000004909 
	169.400000 0.00000000000000003282 
DT = 12

	 Tn 	 Dbeta 
	244.200000 0.00000000000041394237 
	241.600000 0.00000000000032078092 
	239.100000 0.00000000000024786868 
	236.600000 0.00000000000019097180 
	234.100000 0.00000000000014667956 
	231.600000 0.00000000000011235349 
	229.100000 0.00000000000008584278 
	226.600000 0.00000000000006538744 
	224.000000 0.00000000000004968709 
	221.500000 0.00000000000003763440 
	218.900000 0.00000000000002841836 
	216.200000 0.00000000000002140154 
	213.500000 0.00000000000001607408 
	210.800000 0.00000000000001204230 
	207.700000 0.00000000000000900287 
	204.300000 0.00000000000000671623 
	200.800000 0.00000000000000499527 
	197.100000 0.00000000000000369517 
	193.500000 0.00000000000000271539 
	190.000000 0.00000000000000198141 
	186.600000 0.00000000000000143515 
	183.400000 0.00000000000000103109 
	180.500000 0.00000000000000073431 
	177.800000 0.00000000000000051839 
	175.400000 0.00000000000000036274 
	173.400000 0.00000000000000025165 
	171.700000 0.00000000000000017308 
	170.400000 0.00000000000000011814 
	169.600000 0.00000000000000007999 
	169.200000 0.00000000000000005377 
	169.400000 0.00000000000000003594 
DT = 13

	 Tn 	 Dbeta 
	244.200000 0.00000000000044861745 
	241.600000 0.00000000000034768126 
	239.100000 0.00000000000026867694 
	236.600000 0.00000000000020702121 
	234.100000 0.00000000000015902044 
	231.600000 0.00000000000012181719 
	229.100000 0.00000000000009308190 
	226.600000 0.00000000000007090816 
	224.000000 0.00000000000005388755 
	221.500000 0.00000000000004081991 
	218.900000 0.00000000000003082697 
	216.200000 0.00000000000002321798 
	213.500000 0.00000000000001744032 
	210.800000 0.00000000000001306735 
	207.700000 0.00000000000000977053 
	204.300000 0.00000000000000729001 
	200.800000 0.00000000000000542291 
	197.100000 0.00000000000000401222 
	193.500000 0.00000000000000294889 
	190.000000 0.00000000000000215218 
	186.600000 0.00000000000000155912 
	183.400000 0.00000000000000112036 
	180.500000 0.00000000000000079801 
	177.800000 0.00000000000000056346 
	175.400000 0.00000000000000039433 
	173.400000 0.00000000000000027360 
	171.700000 0.00000000000000018820 
	170.400000 0.00000000000000012847 
	169.600000 0.00000000000000008699 
	169.200000 0.00000000000000005848 
	169.400000 0.00000000000000003909 
DT = 14

	 Tn 	 Dbeta 
	244.200000 0.00000000000048330466 
	241.600000 0.00000000000037459516 
	239.100000 0.00000000000028949884 
	236.600000 0.00000000000022308364 
	234.100000 0.00000000000017137328 
	231.600000 0.00000000000013129159 
	229.100000 0.00000000000010033042 
	226.600000 0.00000000000007643697 
	224.000000 0.00000000000005809491 
	221.500000 0.00000000000004401121 
	218.900000 0.00000000000003324042 
	216.200000 0.00000000000002503843 
	213.500000 0.00000000000001880984 
	210.800000 0.00000000000001409507 
	207.700000 0.00000000000001054036 
	204.300000 0.00000000000000786558 
	200.800000 0.00000000000000585200 
	197.100000 0.00000000000000433044 
	193.500000 0.00000000000000318334 
	190.000000 0.00000000000000232369 
	186.600000 0.00000000000000168367 
	183.400000 0.00000000000000121007 
	180.500000 0.00000000000000086205 
	177.800000 0.00000000000000060877 
	175.400000 0.00000000000000042610 
	173.400000 0.00000000000000029568 
	171.700000 0.00000000000000020341 
	170.400000 0.00000000000000013886 
	169.600000 0.00000000000000009404 
	169.200000 0.00000000000000006321 
	169.400000 0.00000000000000004226 
DT = 15

	 Tn 	 Dbeta 
	244.200000 0.00000000000051800080 
	241.600000 0.00000000000040152008 
	239.100000 0.00000000000031033238 
	236.600000 0.00000000000023915749 
	234.100000 0.00000000000018373684 
	231.600000 0.00000000000014077571 
	229.100000 0.00000000000010758754 
	226.600000 0.00000000000008197326 
	224.000000 0.00000000000006230870 
	221.500000 0.00000000000004720794 
	218.900000 0.00000000000003565840 
	216.200000 0.00000000000002686265 
	213.500000 0.00000000000002018246 
	210.800000 0.00000000000001512533 
	207.700000 0.00000000000001131228 
	204.300000 0.00000000000000844286 
	200.800000 0.00000000000000628248 
	197.100000 0.00000000000000464979 
	193.500000 0.00000000000000341868 
	190.000000 0.00000000000000249591 
	186.600000 0.00000000000000180877 
	183.400000 0.00000000000000130020 
	180.500000 0.00000000000000092641 
	177.800000 0.00000000000000065432 
	175.400000 0.00000000000000045805 
	173.400000 0.00000000000000031789 
	171.700000 0.00000000000000021871 
	170.400000 0.00000000000000014932 
	169.600000 0.00000000000000010112 
	169.200000 0.00000000000000006798 
	169.400000 0.00000000000000004544 
DT = 16

	 Tn 	 Dbeta 
	244.200000 0.00000000000055270274 
	241.600000 0.00000000000042845352 
	239.100000 0.00000000000033117558 
	236.600000 0.00000000000025524120 
	234.100000 0.00000000000019610987 
	231.600000 0.00000000000015026858 
	229.100000 0.00000000000011485252 
	226.600000 0.00000000000008751644 
	224.000000 0.00000000000006652846 
	221.500000 0.00000000000005040973 
	218.900000 0.00000000000003808065 
	216.200000 0.00000000000002869043 
	213.500000 0.00000000000002155803 
	210.800000 0.00000000000001615800 
	207.700000 0.00000000000001208617 
	204.300000 0.00000000000000902177 
	200.800000 0.00000000000000671429 
	197.100000 0.00000000000000497022 
	193.500000 0.00000000000000365489 
	190.000000 0.00000000000000266882 
	186.600000 0.00000000000000193441 
	183.400000 0.00000000000000139074 
	180.500000 0.00000000000000099108 
	177.800000 0.00000000000000070010 
	175.400000 0.00000000000000049017 
	173.400000 0.00000000000000034022 
	171.700000 0.00000000000000023410 
	170.400000 0.00000000000000015984 
	169.600000 0.00000000000000010825 
	169.200000 0.00000000000000007277 
	169.400000 0.00000000000000004865 
DT = 17

	 Tn 	 Dbeta 
	244.200000 0.00000000000058740738 
	241.600000 0.00000000000045539302 
	239.100000 0.00000000000035202646 
	236.600000 0.00000000000027133322 
	234.100000 0.00000000000020849116 
	231.600000 0.00000000000015976924 
	229.100000 0.00000000000012212459 
	226.600000 0.00000000000009306591 
	224.000000 0.00000000000007075372 
	221.500000 0.00000000000005361623 
	218.900000 0.00000000000004050687 
	216.200000 0.00000000000003052154 
	213.500000 0.00000000000002293637 
	210.800000 0.00000000000001719295 
	207.700000 0.00000000000001286195 
	204.300000 0.00000000000000960223 
	200.800000 0.00000000000000714737 
	197.100000 0.00000000000000529168 
	193.500000 0.00000000000000389193 
	190.000000 0.00000000000000284239 
	186.600000 0.00000000000000206056 
	183.400000 0.00000000000000148169 
	180.500000 0.00000000000000105605 
	177.800000 0.00000000000000074611 
	175.400000 0.00000000000000052245 
	173.400000 0.00000000000000036267 
	171.700000 0.00000000000000024957 
	170.400000 0.00000000000000017042 
	169.600000 0.00000000000000011542 
	169.200000 0.00000000000000007760 
	169.400000 0.00000000000000005187 
DT = 18

	 Tn 	 Dbeta 
	244.200000 0.00000000000062211167 
	241.600000 0.00000000000048233613 
	239.100000 0.00000000000037288311 
	236.600000 0.00000000000028743202 
	234.100000 0.00000000000022087948 
	231.600000 0.00000000000016927673 
	229.100000 0.00000000000012940300 
	226.600000 0.00000000000009862109 
	224.000000 0.00000000000007498402 
	221.500000 0.00000000000005682707 
	218.900000 0.00000000000004293680 
	216.200000 0.00000000000003235579 
	213.500000 0.00000000000002431731 
	210.800000 0.00000000000001823004 
	207.700000 0.00000000000001363951 
	204.300000 0.00000000000001018417 
	200.800000 0.00000000000000758167 
	197.100000 0.00000000000000561414 
	193.500000 0.00000000000000412977 
	190.000000 0.00000000000000301659 
	186.600000 0.00000000000000218721 
	183.400000 0.00000000000000157301 
	180.500000 0.00000000000000112131 
	177.800000 0.00000000000000079233 
	175.400000 0.00000000000000055489 
	173.400000 0.00000000000000038523 
	171.700000 0.00000000000000026512 
	170.400000 0.00000000000000018105 
	169.600000 0.00000000000000012263 
	169.200000 0.00000000000000008244 
	169.400000 0.00000000000000005511 
DT = 19

	 Tn 	 Dbeta 
	244.200000 0.00000000000065681258 
	241.600000 0.00000000000050928046 
	239.100000 0.00000000000039374362 
	236.600000 0.00000000000030353609 
	234.100000 0.00000000000023327366 
	231.600000 0.00000000000017879012 
	229.100000 0.00000000000013668703 
	226.600000 0.00000000000010418141 
	224.000000 0.00000000000007921892 
	221.500000 0.00000000000006004191 
	218.900000 0.00000000000004537016 
	216.200000 0.00000000000003419295 
	213.500000 0.00000000000002570071 
	210.800000 0.00000000000001926917 
	207.700000 0.00000000000001441876 
	204.300000 0.00000000000001076751 
	200.800000 0.00000000000000801713 
	197.100000 0.00000000000000593755 
	193.500000 0.00000000000000436838 
	190.000000 0.00000000000000319140 
	186.600000 0.00000000000000231433 
	183.400000 0.00000000000000166470 
	180.500000 0.00000000000000118685 
	177.800000 0.00000000000000083876 
	175.400000 0.00000000000000058748 
	173.400000 0.00000000000000040790 
	171.700000 0.00000000000000028076 
	170.400000 0.00000000000000019174 
	169.600000 0.00000000000000012988 
	169.200000 0.00000000000000008732 
	169.400000 0.00000000000000005837 
DT = 20

	 Tn 	 Dbeta 
	244.200000 0.00000000000069150714 
	241.600000 0.00000000000053622363 
	239.100000 0.00000000000041460609 
	236.600000 0.00000000000031964393 
	234.100000 0.00000000000024567252 
	231.600000 0.00000000000018830848 
	229.100000 0.00000000000014397594 
	226.600000 0.00000000000010974629 
	224.000000 0.00000000000008345797 
	221.500000 0.00000000000006326040 
	218.900000 0.00000000000004780669 
	216.200000 0.00000000000003603282 
	213.500000 0.00000000000002708638 
	210.800000 0.00000000000002031020 
	207.700000 0.00000000000001519960 
	204.300000 0.00000000000001135218 
	200.800000 0.00000000000000845368 
	197.100000 0.00000000000000626186 
	193.500000 0.00000000000000460772 
	190.000000 0.00000000000000336679 
	186.600000 0.00000000000000244192 
	183.400000 0.00000000000000175675 
	180.500000 0.00000000000000125266 
	177.800000 0.00000000000000088540 
	175.400000 0.00000000000000062023 
	173.400000 0.00000000000000043069 
	171.700000 0.00000000000000029646 
	170.400000 0.00000000000000020249 
	169.600000 0.00000000000000013716 
	169.200000 0.00000000000000009222 
	169.400000 0.00000000000000006164 
