 0.0000      0.0000    
 0.0000      4.0900e-12
 1.1986e-01  0.0000    
 1.1986e-01  4.0900e-12
 2.3973e-01  0.0000    
 2.3973e-01  4.0900e-12
 3.5959e-01  0.0000    
 3.5959e-01  4.0900e-12
 4.7945e-01  0.0000    
 4.7945e-01  4.0900e-12
 5.9932e-01  0.0000    
 5.9932e-01  4.0900e-12
 7.1918e-01  0.0000    
 7.1918e-01  4.0900e-12
 8.3904e-01  0.0000    
 8.3904e-01  4.0900e-12
 9.5890e-01  0.0000    
 9.5890e-01  4.0900e-12
 1.0788      0.0000    
 1.0788      4.0900e-12
 1.1986      0.0000    
 1.1986      4.0900e-12
 1.3185      0.0000    
 1.3185      4.0900e-12
 1.3185      8.1800e-12
 1.3185      1.2270e-11
 1.3185      1.6360e-11
 1.3185      2.0450e-11
 1.3185      2.4540e-11
 1.3185      2.8630e-11
 1.3185      3.2720e-11
 1.3185      3.6810e-11
 1.3185      4.0900e-11
 1.3185      4.4990e-11
 1.3185      4.9080e-11
 1.4384      2.4540e-11
 1.4384      2.0450e-11
 1.4384      1.6360e-11
 1.4384      1.2270e-11
 1.4384      8.1800e-12
 1.4384      2.8630e-11
 1.4384      3.2720e-11
 1.4384      3.6810e-11
 1.4384      4.0900e-11
 1.4384      4.4990e-11
 1.4384      4.9080e-11
 1.4384      5.3170e-11
 1.4384      5.7260e-11
 1.4384      6.1350e-11
 1.4384      6.5440e-11
 1.4384      6.9530e-11
 1.4384      7.3620e-11
 1.4384      7.7710e-11
 1.4384      8.1800e-11
 1.4384      8.5890e-11
 1.4384      8.9980e-11
 1.4384      9.4070e-11
 1.4384      9.8160e-11
 1.5582      5.3170e-11
 1.5582      4.9080e-11
 1.5582      4.4990e-11
 1.5582      5.7260e-11
 1.5582      6.1350e-11
 1.5582      6.5440e-11
 1.5582      6.9530e-11
 1.5582      7.3620e-11
 1.5582      7.7710e-11
 1.5582      8.1800e-11
 1.5582      8.5890e-11
 1.5582      8.9980e-11
 1.5582      9.4070e-11
 1.5582      9.8160e-11
 1.5582      1.0225e-10
 1.6781      7.3620e-11
 1.6781      6.9530e-11
 1.6781      6.5440e-11
 1.6781      6.1350e-11
 1.6781      5.7260e-11
 1.6781      5.3170e-11
 1.6781      4.9080e-11
 1.6781      4.4990e-11
 1.6781      4.0900e-11
 1.6781      3.6810e-11
 1.6781      3.2720e-11
 1.6781      2.8630e-11
 1.6781      2.4540e-11
 1.6781      2.0450e-11
 1.6781      1.6360e-11
 1.6781      1.2270e-11
 1.6781      7.7710e-11
 1.6781      8.1800e-11
 1.6781      8.5890e-11
 1.6781      8.9980e-11
